epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.43368,1.46787,0.2,1,1.48222,0.0001625,0.0001625,0.0001625
2,14.0259,1.2757,0.425,1,1.24919,0.000336832,0.000336832,0.000336832
3,21.0356,1.11852,0.475,1,1.1412,0.000510471,0.000510471,0.000510471
4,27.8808,0.98027,0.475,1,1.09492,0.000683416,0.000683416,0.000683416
5,34.4525,0.80859,0.6,1,1.13744,0.000855669,0.000855669,0.000855669
6,40.9542,0.66765,0.45,1,1.7177,0.00102723,0.00102723,0.00102723
7,47.3824,0.5208,0.55,1,1.54557,0.0011981,0.0011981,0.0011981
8,53.9407,0.52618,0.475,1,1.31201,0.00123268,0.00123268,0.00123268
9,60.4748,0.59617,0.4,1,1.98705,0.0012302,0.0012302,0.0012302
10,66.992,0.54421,0.35,1,1.55887,0.00122773,0.00122773,0.00122773
11,73.537,0.4711,0.4,1,1.54939,0.00122525,0.00122525,0.00122525
12,80.9661,0.50964,0.575,1,1.36474,0.00122277,0.00122277,0.00122277
13,88.6153,0.45633,0.575,1,1.39826,0.0012203,0.0012203,0.0012203
