epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.024,4.07455,0.3,1,2.47326,3.75e-05,3.75e-05,3.75e-05
2,150.95,3.61814,0.35,1,1.94439,8.72112e-05,8.72112e-05,8.72112e-05
3,227.524,2.62405,0.475,1,1.50855,0.000136593,0.000136593,0.000136593
4,302.293,1.57583,0.55,1,1.33956,0.000185644,0.000185644,0.000185644
5,378.182,1.15289,0.525,1,1.47586,0.000234365,0.000234365,0.000234365
6,456.047,1.04692,0.475,1,1.58864,0.000282756,0.000282756,0.000282756
7,570.631,0.92526,0.525,1,1.29117,0.000330818,0.000330818,0.000330818
8,652.856,0.93241,0.625,1,1.10712,0.000378549,0.000378549,0.000378549
9,730.941,0.80343,0.575,1,1.16544,0.00042595,0.00042595,0.00042595
10,808.358,0.73979,0.55,1,1.04338,0.000473021,0.000473021,0.000473021
11,885.677,0.69537,0.575,1,1.02151,0.000519762,0.000519762,0.000519762
12,963.171,0.6166,0.575,1,1.0146,0.000566174,0.000566174,0.000566174
13,1044.69,0.51402,0.55,1,1.02723,0.000612255,0.000612255,0.000612255
14,1122.26,0.52925,0.575,1,1.19982,0.000658006,0.000658006,0.000658006
15,1198.42,0.42774,0.475,1,1.40632,0.000703428,0.000703428,0.000703428
16,1273.87,0.41714,0.55,1,1.27605,0.000748519,0.000748519,0.000748519
17,1351.24,0.37267,0.4,1,1.55251,0.00079328,0.00079328,0.00079328
18,1429.66,0.44627,0.425,1,1.55467,0.000837711,0.000837711,0.000837711
19,1506.02,0.3788,0.35,1,1.81119,0.000881812,0.000881812,0.000881812
20,1581.62,0.33425,0.35,1,3.28551,0.000925584,0.000925584,0.000925584
21,1661.61,0.65808,0.4,1,2.73304,0.000969025,0.000969025,0.000969025
22,1743.51,0.51993,0.475,1,2.4255,0.00101214,0.00101214,0.00101214
23,1820.17,0.54668,0.475,1,1.57772,0.00105492,0.00105492,0.00105492
24,1890.42,0.6326,0.5,1,1.56683,0.00109737,0.00109737,0.00109737
25,1957.56,0.57973,0.45,1,3.32973,0.00113949,0.00113949,0.00113949
26,2025.26,0.48141,0.325,1,7.49261,0.00114688,0.00114688,0.00114688
27,2093.79,0.54919,0.3,1,8.22681,0.00114275,0.00114275,0.00114275
28,2162.31,0.56207,0.45,1,3.18558,0.00113863,0.00113863,0.00113863
29,2233.29,0.64251,0.45,1,2.3904,0.0011345,0.0011345,0.0011345
30,2304.69,0.49802,0.425,1,2.21574,0.00113038,0.00113038,0.00113038
31,2377.11,0.43223,0.425,1,2.4331,0.00112625,0.00112625,0.00112625
32,2447.89,0.41932,0.425,1,2.44545,0.00112213,0.00112213,0.00112213
33,2518.7,0.33213,0.35,1,2.36442,0.001118,0.001118,0.001118
34,2592.11,0.39162,0.525,1,1.84967,0.00111388,0.00111388,0.00111388
35,2661.89,0.32686,0.4,1,2.26669,0.00110975,0.00110975,0.00110975
36,2731.76,0.49775,0.35,1,2.91632,0.00110563,0.00110563,0.00110563
37,2800.49,0.37593,0.425,1,2.63078,0.0011015,0.0011015,0.0011015
38,2869.37,0.53585,0.4,1,2.78219,0.00109738,0.00109738,0.00109738
39,2938.91,0.3793,0.325,1,2.11634,0.00109325,0.00109325,0.00109325
40,3006.91,0.45198,0.375,1,3.27318,0.00108913,0.00108913,0.00108913
41,3074.89,0.39145,0.275,1,2.85358,0.001085,0.001085,0.001085
42,3143.33,0.31877,0.3,1,4.38819,0.00108088,0.00108088,0.00108088
43,3211.84,0.35986,0.35,1,3.08346,0.00107675,0.00107675,0.00107675
