epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.434,1.10839,3.28673,1.57049,0.00591,0.99671,0.33044,0.19618,0.94803,4.03996,1.48913,0.0002375,0.0002375,0.0002375
2,930.147,1.05974,2.48932,1.47152,0.00372,0.99671,0.30223,0.18558,1.08468,3.85311,1.65708,0.000485891,0.000485891,0.000485891
3,1341.48,1.11411,2.14166,1.4824,0.26194,0.39825,0.35161,0.17907,1.30493,3.46028,2.32032,0.000732633,0.000732633,0.000732633
4,1756.75,1.12749,2.01686,1.48452,0.10372,0.46659,0.13176,0.06582,1.4017,4.09644,2.54835,0.000977724,0.000977724,0.000977724
5,2171.76,1.16229,1.91131,1.51015,0.03322,0.34451,0.03278,0.01252,1.96889,6.81999,3.94791,0.00122116,0.00122116,0.00122116
6,2587.93,1.15037,1.82178,1.48378,0.21852,0.2953,0.11178,0.03223,2.61439,5.52751,4.46522,0.00122937,0.00122937,0.00122937
7,3026.99,1.15808,1.68688,1.4797,0.10701,0.27138,0.08331,0.02081,2.89899,7.22956,4.64146,0.00122525,0.00122525,0.00122525
8,3443,1.10208,1.60463,1.4449,0.21817,0.3146,0.1846,0.10881,1.66378,2.90404,2.37321,0.00122112,0.00122112,0.00122112
9,3922.94,1.10985,1.52208,1.44361,0.18009,0.55728,0.196,0.1086,1.67856,3.00802,2.61783,0.001217,0.001217,0.001217
10,4461.76,1.13066,1.47194,1.45833,0.16012,0.34653,0.14907,0.07885,1.86892,4.46276,3.2403,0.00121287,0.00121287,0.00121287
11,5001.46,1.08331,1.43777,1.41487,0.37279,0.46646,0.35078,0.21398,1.28047,2.88359,1.84445,0.00120875,0.00120875,0.00120875
12,5520.69,1.07659,1.39877,1.41521,0.37495,0.65035,0.49161,0.33773,1.01829,1.72107,1.57848,0.00120462,0.00120462,0.00120462
13,5963.72,1.0232,1.33963,1.37051,0.28036,0.7145,0.44691,0.27318,1.13158,2.76867,1.67136,0.0012005,0.0012005,0.0012005
14,6488.93,1.03747,1.34974,1.38295,0.40198,0.63159,0.46991,0.31176,1.14281,1.83703,1.63219,0.00119637,0.00119637,0.00119637
15,7037.86,1.03362,1.31352,1.3633,0.48425,0.66381,0.59776,0.44427,0.92549,1.35978,1.38795,0.00119225,0.00119225,0.00119225
16,7504.44,0.99971,1.29314,1.36913,0.38747,0.55506,0.43877,0.30267,1.05668,2.05507,1.53009,0.00118812,0.00118812,0.00118812
17,7945.96,0.99828,1.24683,1.35739,0.49996,0.5256,0.49778,0.35461,0.97832,1.83541,1.47529,0.001184,0.001184,0.001184
18,8374,0.97705,1.24038,1.33325,0.58251,0.64772,0.67446,0.51249,0.86894,1.24301,1.36826,0.00117988,0.00117988,0.00117988
19,8813.27,0.96942,1.24576,1.33122,0.35625,0.51,0.40955,0.27257,1.15428,2.14514,1.69455,0.00117575,0.00117575,0.00117575
20,9241.25,0.94763,1.19402,1.30463,0.461,0.69118,0.54671,0.37543,0.98516,1.30156,1.44663,0.00117163,0.00117163,0.00117163
21,9662.62,0.94586,1.18734,1.30806,0.49425,0.6793,0.60506,0.45475,0.89973,1.27342,1.39283,0.0011675,0.0011675,0.0011675
22,10094.4,0.97423,1.22506,1.33887,0.52514,0.63935,0.62564,0.4637,0.90742,1.26175,1.41612,0.00116337,0.00116337,0.00116337
23,10942,0.94904,1.1887,1.3064,0.5642,0.63776,0.62458,0.43843,1.05282,1.28206,1.54857,0.00115925,0.00115925,0.00115925
24,11925.7,0.92251,1.16713,1.28754,0.37733,0.71937,0.54263,0.39358,1.00514,1.76348,1.41239,0.00115513,0.00115513,0.00115513
25,12512.7,0.93693,1.18923,1.29463,0.43066,0.70936,0.50104,0.34488,1.06229,1.37754,1.51985,0.001151,0.001151,0.001151
26,13050,0.94112,1.16343,1.30868,0.58019,0.64571,0.67256,0.48834,0.94433,1.07318,1.4245,0.00114688,0.00114688,0.00114688
27,13549,0.91514,1.13092,1.28778,0.62939,0.63699,0.68858,0.53991,0.80826,1.12389,1.28804,0.00114275,0.00114275,0.00114275
28,14047.7,0.89882,1.12576,1.27996,0.63314,0.61705,0.6469,0.50645,0.79977,1.22596,1.28084,0.00113863,0.00113863,0.00113863
29,14565.8,0.91606,1.15004,1.28215,0.48113,0.65311,0.66732,0.50072,0.88852,1.37397,1.35941,0.0011345,0.0011345,0.0011345
30,15075.4,0.88055,1.11878,1.26613,0.55773,0.64928,0.6601,0.48275,0.93925,1.20031,1.3899,0.00113038,0.00113038,0.00113038
31,15581.2,0.8961,1.11198,1.28475,0.61532,0.6474,0.67244,0.48427,0.91013,1.14883,1.37951,0.00112625,0.00112625,0.00112625
32,16279.5,0.88877,1.08661,1.26325,0.48355,0.66983,0.60817,0.42979,1.06382,1.18946,1.50954,0.00112213,0.00112213,0.00112213
33,16989.6,0.87502,1.08661,1.26022,0.50993,0.67249,0.60515,0.43327,0.97647,1.20146,1.43581,0.001118,0.001118,0.001118
34,17695.2,0.8796,1.07522,1.2772,0.65689,0.71615,0.70552,0.51825,0.8984,1.09817,1.34099,0.00111388,0.00111388,0.00111388
35,18396.8,0.88936,1.10164,1.27027,0.40576,0.67609,0.51262,0.39293,0.88642,1.96976,1.34774,0.00110975,0.00110975,0.00110975
36,19100.2,0.86734,1.06021,1.25292,0.59075,0.6876,0.72461,0.54576,0.9051,1.03369,1.34232,0.00110563,0.00110563,0.00110563
37,19809.7,0.87757,1.06682,1.24626,0.59966,0.72415,0.71678,0.56128,0.84887,1.01778,1.28947,0.0011015,0.0011015,0.0011015
38,20517.4,0.83138,1.05195,1.23588,0.64429,0.77637,0.74623,0.55862,0.94108,1.03337,1.37792,0.00109738,0.00109738,0.00109738
39,21462.4,0.8592,1.06172,1.23724,0.47649,0.68545,0.56742,0.43094,0.88237,1.49999,1.33993,0.00109325,0.00109325,0.00109325
