epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10479,0.87091,1.02965,1.21068,0.8026,0.80731,0.85516,0.64749,0.86395,0.89766,1.22557,0.00333058,0.00333058,0.00333058
2,20885.9,0.88626,1.00226,1.21049,0.76018,0.82297,0.86426,0.64348,0.88021,0.89621,1.23924,0.00653197,0.00653197,0.00653197
3,31467.6,0.95096,1.10107,1.24801,0.73058,0.75854,0.79337,0.5707,0.91673,1.01884,1.25522,0.00960135,0.00960135,0.00960135
4,41772,1.00228,1.1813,1.27998,0.67141,0.78542,0.78019,0.56748,0.91802,1.08153,1.27078,0.009406,0.009406,0.009406
5,51702.2,0.937,1.04491,1.23747,0.82819,0.83286,0.89421,0.65432,0.9304,0.80286,1.2935,0.009208,0.009208,0.009208
6,66223.3,0.89725,0.94751,1.21487,0.82426,0.82618,0.86762,0.63097,0.89838,0.81822,1.28515,0.00901,0.00901,0.00901
7,76228.5,0.85994,0.87076,1.19162,0.84268,0.86047,0.89385,0.67479,0.88706,0.75403,1.25236,0.008812,0.008812,0.008812
8,87384.6,0.8299,0.81525,1.17091,0.83254,0.86211,0.89646,0.66439,0.91888,0.75286,1.28707,0.008614,0.008614,0.008614
9,97756.8,0.8086,0.77363,1.1582,0.82639,0.88166,0.89082,0.66136,0.92196,0.76153,1.31759,0.008416,0.008416,0.008416
10,107591,0.78696,0.73492,1.14775,0.82847,0.86845,0.88729,0.6708,0.88264,0.78277,1.26147,0.008218,0.008218,0.008218
11,118180,0.76725,0.71003,1.13606,0.84479,0.85878,0.89877,0.66058,0.93398,0.7584,1.33462,0.00802,0.00802,0.00802
12,128383,0.74741,0.67112,1.12319,0.85066,0.87114,0.89804,0.66187,0.95113,0.75291,1.36733,0.007822,0.007822,0.007822
