epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,380.525,0.69043,0.6,1,0.83078,0.000375,0.000375,0.000375
2,696.395,0.60469,0.525,1,1.16122,0.000759984,0.000759984,0.000759984
3,974.435,0.66022,0.325,1,1.78064,0.00114241,0.00114241,0.00114241
4,1257.38,0.77044,0.6,1,1.08271,0.00123763,0.00123763,0.00123763
5,1538.18,0.74175,0.45,1,1.49951,0.0012335,0.0012335,0.0012335
6,1819.76,0.71552,0.35,1,1.76298,0.00122937,0.00122937,0.00122937
7,2097.6,0.72605,0.4,1,2.56806,0.00122525,0.00122525,0.00122525
8,2381.14,0.68772,0.55,1,1.13975,0.00122112,0.00122112,0.00122112
9,2691.65,0.6527,0.475,1,1.75439,0.001217,0.001217,0.001217
10,3317.21,0.65631,0.375,1,2.23945,0.00121287,0.00121287,0.00121287
11,3880.94,0.57183,0.475,1,1.50168,0.00120875,0.00120875,0.00120875
12,4265.45,0.54064,0.5,1,2.06249,0.00120462,0.00120462,0.00120462
13,4669.38,0.55503,0.475,1,1.65418,0.0012005,0.0012005,0.0012005
14,5035.1,0.5961,0.525,1,1.37465,0.00119637,0.00119637,0.00119637
15,5421.72,0.55678,0.475,1,1.6746,0.00119225,0.00119225,0.00119225
16,5787.14,0.57946,0.475,1,1.72957,0.00118812,0.00118812,0.00118812
17,6144.21,0.57245,0.525,1,1.43604,0.001184,0.001184,0.001184
18,6503.74,0.55655,0.475,1,2.18985,0.00117988,0.00117988,0.00117988
19,6863.14,0.51593,0.425,1,1.77952,0.00117575,0.00117575,0.00117575
20,7224.38,0.5428,0.65,1,1.35152,0.00117163,0.00117163,0.00117163
21,7583.81,0.55561,0.5,1,1.67194,0.0011675,0.0011675,0.0011675
22,7945.38,0.52284,0.6,1,1.8073,0.00116337,0.00116337,0.00116337
23,8305.31,0.48131,0.55,1,1.65011,0.00115925,0.00115925,0.00115925
24,8665.2,0.47533,0.45,1,1.54838,0.00115513,0.00115513,0.00115513
25,9024.27,0.46497,0.6,1,1.29444,0.001151,0.001151,0.001151
26,9381.53,0.5099,0.525,1,1.35228,0.00114688,0.00114688,0.00114688
27,9742.11,0.43796,0.675,1,1.17189,0.00114275,0.00114275,0.00114275
28,10104.5,0.44782,0.6,1,1.0761,0.00113863,0.00113863,0.00113863
29,10461.7,0.44183,0.6,1,1.32292,0.0011345,0.0011345,0.0011345
30,10823.1,0.48146,0.6,1,1.36143,0.00113038,0.00113038,0.00113038
31,11114,0.43389,0.7,1,1.2692,0.00112625,0.00112625,0.00112625
32,11401.3,0.38811,0.575,1,1.42058,0.00112213,0.00112213,0.00112213
33,11686.6,0.39411,0.65,1,1.13048,0.001118,0.001118,0.001118
34,11970.8,0.36108,0.525,1,1.50445,0.00111388,0.00111388,0.00111388
35,12256.2,0.38527,0.7,1,1.32655,0.00110975,0.00110975,0.00110975
36,12541,0.3425,0.6,1,1.99788,0.00110563,0.00110563,0.00110563
37,12828.5,0.36047,0.7,1,0.98333,0.0011015,0.0011015,0.0011015
38,13114.4,0.35399,0.625,1,1.26091,0.00109738,0.00109738,0.00109738
39,13446.4,0.33384,0.775,1,1.00956,0.00109325,0.00109325,0.00109325
40,13772.9,0.34182,0.725,1,0.97766,0.00108913,0.00108913,0.00108913
41,14061.5,0.3289,0.65,1,1.30193,0.001085,0.001085,0.001085
42,14350.7,0.33265,0.775,1,1.21165,0.00108088,0.00108088,0.00108088
43,14641.3,0.3274,0.675,1,1.4461,0.00107675,0.00107675,0.00107675
44,14929.9,0.3354,0.75,1,1.12001,0.00107263,0.00107263,0.00107263
45,15217.4,0.32752,0.675,1,1.05261,0.0010685,0.0010685,0.0010685
