epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1349.43,1.044,0.525,1,1.1806,0.0033121,0.0033121,0.0033121
2,2622.23,0.84798,0.35,1,1.97914,0.00662351,0.00662351,0.00662351
3,4057.68,0.86352,0.4,1,1.34494,0.00991291,0.00991291,0.00991291
4,5267.84,0.86302,0.425,1,1.17752,0.009901,0.009901,0.009901
5,6488.46,0.79978,0.4,1,1.49553,0.009868,0.009868,0.009868
6,7726.15,0.77489,0.375,1,1.35823,0.009835,0.009835,0.009835
7,9179.71,0.73637,0.425,1,1.28113,0.009802,0.009802,0.009802
8,10793.6,0.72317,0.4,1,1.44305,0.009769,0.009769,0.009769
9,12078.7,0.71208,0.3,1,1.56756,0.009736,0.009736,0.009736
10,13367,0.69641,0.475,1,1.3283,0.009703,0.009703,0.009703
11,14843.3,0.67696,0.4,1,1.34163,0.00967,0.00967,0.00967
12,16636.7,0.66061,0.35,1,1.43643,0.009637,0.009637,0.009637
13,18477.4,0.66243,0.4,1,1.2716,0.009604,0.009604,0.009604
14,20305.9,0.64907,0.35,1,1.39971,0.009571,0.009571,0.009571
15,22139.3,0.6475,0.35,1,1.31295,0.009538,0.009538,0.009538
16,23981.2,0.64145,0.525,1,1.26277,0.009505,0.009505,0.009505
17,25821.6,0.6305,0.475,1,1.49285,0.009472,0.009472,0.009472
18,27657.9,0.61279,0.325,1,1.97902,0.009439,0.009439,0.009439
19,29509.3,0.62024,0.45,1,1.46201,0.009406,0.009406,0.009406
20,31098.3,0.6103,0.575,1,1.25303,0.009373,0.009373,0.009373
21,32357.7,0.60422,0.5,1,1.44377,0.00934,0.00934,0.00934
22,33661.9,0.59101,0.45,1,1.37488,0.009307,0.009307,0.009307
23,34990.5,0.59545,0.475,1,1.24344,0.009274,0.009274,0.009274
24,36389.9,0.58363,0.525,1,1.32745,0.009241,0.009241,0.009241
25,37778.3,0.57756,0.425,1,1.61089,0.009208,0.009208,0.009208
26,39174.3,0.57256,0.525,1,1.39143,0.009175,0.009175,0.009175
27,40563,0.56961,0.575,1,1.34564,0.009142,0.009142,0.009142
28,41948.4,0.55436,0.5,1,1.43409,0.009109,0.009109,0.009109
29,43339.7,0.56021,0.225,1,1.6566,0.009076,0.009076,0.009076
30,44719.9,0.55231,0.475,1,1.39479,0.009043,0.009043,0.009043
31,46663.2,0.563,0.5,1,1.38682,0.00901,0.00901,0.00901
32,47934.6,0.54698,0.475,1,1.70191,0.008977,0.008977,0.008977
33,49162.2,0.54154,0.475,1,1.67276,0.008944,0.008944,0.008944
34,50381.9,0.53475,0.4,1,1.3479,0.008911,0.008911,0.008911
35,51614.1,0.53728,0.4,1,1.60513,0.008878,0.008878,0.008878
36,52914.2,0.5291,0.425,1,1.50477,0.008845,0.008845,0.008845
37,54216.7,0.52911,0.55,1,1.162,0.008812,0.008812,0.008812
38,55516,0.52605,0.425,1,1.41437,0.008779,0.008779,0.008779
39,56814.5,0.51425,0.5,1,1.36903,0.008746,0.008746,0.008746
40,58144.7,0.50876,0.5,1,1.3813,0.008713,0.008713,0.008713
41,59455.1,0.51974,0.575,1,1.27372,0.00868,0.00868,0.00868
42,60700.6,0.50291,0.55,1,1.2557,0.008647,0.008647,0.008647
43,61948.5,0.50742,0.375,1,1.46395,0.008614,0.008614,0.008614
44,63197.9,0.50381,0.5,1,1.47078,0.008581,0.008581,0.008581
45,64413,0.49629,0.425,1,1.46862,0.008548,0.008548,0.008548
46,65635.2,0.50609,0.425,1,1.51351,0.008515,0.008515,0.008515
47,66854.7,0.50787,0.55,1,1.41882,0.008482,0.008482,0.008482
48,68078.6,0.48801,0.525,1,1.36835,0.008449,0.008449,0.008449
49,69301.8,0.49709,0.475,1,1.75305,0.008416,0.008416,0.008416
50,70517.1,0.48276,0.375,1,1.63027,0.008383,0.008383,0.008383
51,71763.6,0.46697,0.525,1,1.5786,0.00835,0.00835,0.00835
52,73021.9,0.48372,0.425,1,1.47617,0.008317,0.008317,0.008317
53,74332.5,0.47487,0.375,1,1.6258,0.008284,0.008284,0.008284
54,75950.9,0.47827,0.45,1,1.49335,0.008251,0.008251,0.008251
55,77866.7,0.46841,0.45,1,1.55441,0.008218,0.008218,0.008218
56,79632,0.4602,0.475,1,1.59368,0.008185,0.008185,0.008185
57,81375.1,0.46806,0.425,1,1.46713,0.008152,0.008152,0.008152
58,82605.1,0.44968,0.45,1,1.66791,0.008119,0.008119,0.008119
59,84105.6,0.46434,0.4,1,1.70907,0.008086,0.008086,0.008086
60,85870.3,0.4543,0.425,1,1.61823,0.008053,0.008053,0.008053
61,88113.7,0.45484,0.525,1,1.49942,0.00802,0.00802,0.00802
62,89893.9,0.44233,0.525,1,1.57248,0.007987,0.007987,0.007987
63,92176.1,0.44203,0.475,1,1.66752,0.007954,0.007954,0.007954
64,93746.1,0.44839,0.475,1,1.60463,0.007921,0.007921,0.007921
65,95672,0.43171,0.45,1,1.53383,0.007888,0.007888,0.007888
66,97030.7,0.43559,0.475,1,1.47264,0.007855,0.007855,0.007855
67,98391.2,0.43913,0.5,1,1.43828,0.007822,0.007822,0.007822
68,100172,0.42929,0.55,1,1.36798,0.007789,0.007789,0.007789
69,101803,0.43749,0.525,1,1.45358,0.007756,0.007756,0.007756
70,103458,0.42413,0.525,1,1.42711,0.007723,0.007723,0.007723
71,105259,0.43006,0.475,1,1.45844,0.00769,0.00769,0.00769
72,106947,0.4112,0.5,1,1.41829,0.007657,0.007657,0.007657
73,108746,0.41682,0.5,1,1.39458,0.007624,0.007624,0.007624
74,110272,0.41451,0.525,1,1.40179,0.007591,0.007591,0.007591
75,111850,0.42097,0.525,1,1.41677,0.007558,0.007558,0.007558
76,113111,0.40671,0.525,1,1.41605,0.007525,0.007525,0.007525
77,114377,0.41679,0.5,1,1.525,0.007492,0.007492,0.007492
78,115665,0.4056,0.5,1,1.53815,0.007459,0.007459,0.007459
79,116954,0.41547,0.475,1,1.51187,0.007426,0.007426,0.007426
80,118227,0.40191,0.475,1,1.51104,0.007393,0.007393,0.007393
81,119496,0.40325,0.425,1,1.55446,0.00736,0.00736,0.00736
82,120768,0.39516,0.5,1,1.51544,0.007327,0.007327,0.007327
83,122059,0.39389,0.55,1,1.47152,0.007294,0.007294,0.007294
84,123361,0.39186,0.55,1,1.48824,0.007261,0.007261,0.007261
85,124645,0.40545,0.45,1,1.52454,0.007228,0.007228,0.007228
86,125931,0.38772,0.5,1,1.50926,0.007195,0.007195,0.007195
87,127227,0.38414,0.525,1,1.51569,0.007162,0.007162,0.007162
88,128515,0.38232,0.55,1,1.4836,0.007129,0.007129,0.007129
89,129807,0.37789,0.575,1,1.48829,0.007096,0.007096,0.007096
90,131101,0.37626,0.5,1,1.49874,0.007063,0.007063,0.007063
91,132467,0.37626,0.55,1,1.50743,0.00703,0.00703,0.00703
92,134356,0.36705,0.525,1,1.51536,0.006997,0.006997,0.006997
93,136193,0.3747,0.55,1,1.53022,0.006964,0.006964,0.006964
94,137585,0.36891,0.525,1,1.52137,0.006931,0.006931,0.006931
95,139485,0.36374,0.475,1,1.53633,0.006898,0.006898,0.006898
96,140806,0.35972,0.5,1,1.55499,0.006865,0.006865,0.006865
97,142042,0.35949,0.5,1,1.55392,0.006832,0.006832,0.006832
98,143341,0.362,0.475,1,1.5583,0.006799,0.006799,0.006799
99,144669,0.34703,0.475,1,1.55918,0.006766,0.006766,0.006766
100,145951,0.36383,0.5,1,1.56099,0.006733,0.006733,0.006733
101,147209,0.35868,0.5,1,1.55631,0.0067,0.0067,0.0067
102,148474,0.35134,0.5,1,1.5587,0.006667,0.006667,0.006667
103,149738,0.34528,0.525,1,1.55151,0.006634,0.006634,0.006634
104,151280,0.34179,0.55,1,1.55214,0.006601,0.006601,0.006601
105,153616,0.33837,0.55,1,1.54133,0.006568,0.006568,0.006568
106,155576,0.34759,0.55,1,1.54567,0.006535,0.006535,0.006535
107,157609,0.34462,0.525,1,1.55568,0.006502,0.006502,0.006502
108,159631,0.34007,0.525,1,1.55395,0.006469,0.006469,0.006469
109,161572,0.35169,0.525,1,1.55617,0.006436,0.006436,0.006436
110,163024,0.3313,0.525,1,1.56527,0.006403,0.006403,0.006403
111,165082,0.32258,0.525,1,1.57034,0.00637,0.00637,0.00637
112,167042,0.32491,0.525,1,1.57013,0.006337,0.006337,0.006337
113,169467,0.32269,0.525,1,1.57324,0.006304,0.006304,0.006304
114,171653,0.31908,0.525,1,1.57537,0.006271,0.006271,0.006271
115,173808,0.32283,0.525,1,1.582,0.006238,0.006238,0.006238
116,175712,0.31547,0.525,1,1.58767,0.006205,0.006205,0.006205
117,178201,0.3157,0.525,1,1.58527,0.006172,0.006172,0.006172
118,180142,0.30774,0.525,1,1.58062,0.006139,0.006139,0.006139
119,181464,0.32658,0.525,1,1.57818,0.006106,0.006106,0.006106
120,182798,0.3162,0.525,1,1.57715,0.006073,0.006073,0.006073
